2026/07/05 18:46:27.232, 210 MHz, 0 %, 23.65 W, 1 MiB
2026/07/05 18:46:28.236, 210 MHz, 0 %, 23.56 W, 1 MiB
2026/07/05 18:46:29.237, 210 MHz, 0 %, 23.50 W, 1 MiB
2026/07/05 18:46:30.237, 210 MHz, 0 %, 23.56 W, 1 MiB
2026/07/05 18:46:31.237, 210 MHz, 0 %, 23.42 W, 2 MiB
2026/07/05 18:46:32.243, 675 MHz, 0 %, 30.92 W, 4 MiB
2026/07/05 18:46:33.243, 675 MHz, 0 %, 36.86 W, 4 MiB
2026/07/05 18:46:34.244, 210 MHz, 0 %, 25.95 W, 4 MiB
2026/07/05 18:46:35.244, 210 MHz, 0 %, 24.17 W, 4 MiB
2026/07/05 18:46:36.244, 210 MHz, 0 %, 23.57 W, 4 MiB
2026/07/05 18:46:37.245, 210 MHz, 0 %, 23.65 W, 4 MiB
2026/07/05 18:46:38.245, 210 MHz, 0 %, 23.56 W, 4 MiB
2026/07/05 18:46:39.246, 210 MHz, 0 %, 23.58 W, 4 MiB
2026/07/05 18:46:40.246, 210 MHz, 0 %, 23.66 W, 4 MiB
2026/07/05 18:46:41.247, 210 MHz, 0 %, 23.47 W, 4 MiB
2026/07/05 18:46:42.247, 210 MHz, 0 %, 23.43 W, 4 MiB
2026/07/05 18:46:43.247, 210 MHz, 0 %, 23.56 W, 4 MiB
2026/07/05 18:46:44.248, 210 MHz, 0 %, 23.45 W, 4 MiB
2026/07/05 18:46:45.248, 210 MHz, 0 %, 23.44 W, 4 MiB
2026/07/05 18:46:46.249, 210 MHz, 0 %, 23.57 W, 4 MiB
2026/07/05 18:46:47.249, 210 MHz, 0 %, 23.49 W, 4 MiB
2026/07/05 18:46:48.249, 210 MHz, 0 %, 23.52 W, 4 MiB
2026/07/05 18:46:49.250, 210 MHz, 0 %, 23.52 W, 4 MiB
2026/07/05 18:46:50.250, 210 MHz, 0 %, 23.72 W, 4 MiB
2026/07/05 18:46:51.251, 210 MHz, 0 %, 23.82 W, 4 MiB
2026/07/05 18:46:52.251, 210 MHz, 0 %, 23.48 W, 4 MiB
2026/07/05 18:46:53.251, 210 MHz, 0 %, 23.45 W, 4 MiB
2026/07/05 18:46:54.252, 210 MHz, 0 %, 23.49 W, 4 MiB
2026/07/05 18:46:55.252, 210 MHz, 0 %, 23.36 W, 4 MiB
2026/07/05 18:46:56.253, 210 MHz, 0 %, 23.40 W, 4 MiB
2026/07/05 18:46:57.253, 210 MHz, 0 %, 23.50 W, 4 MiB
2026/07/05 18:46:58.254, 210 MHz, 0 %, 23.40 W, 4 MiB
2026/07/05 18:46:59.254, 210 MHz, 0 %, 23.39 W, 4 MiB
2026/07/05 18:47:00.254, 210 MHz, 0 %, 23.40 W, 4 MiB
2026/07/05 18:47:01.255, 210 MHz, 0 %, 23.43 W, 4 MiB
2026/07/05 18:47:02.255, 1065 MHz, 0 %, 24.03 W, 19 MiB
2026/07/05 18:47:03.274, 1695 MHz, 0 %, 113.09 W, 328 MiB
2026/07/05 18:47:04.275, 1695 MHz, 0 %, 113.09 W, 328 MiB
2026/07/05 18:47:05.275, 1695 MHz, 0 %, 112.80 W, 328 MiB
2026/07/05 18:47:06.276, 1695 MHz, 0 %, 113.54 W, 626 MiB
2026/07/05 18:47:07.276, 1695 MHz, 0 %, 114.14 W, 3432 MiB
2026/07/05 18:47:08.277, 1695 MHz, 0 %, 114.19 W, 3432 MiB
2026/07/05 18:47:09.277, 1695 MHz, 0 %, 114.50 W, 3432 MiB
2026/07/05 18:47:10.278, 1695 MHz, 0 %, 114.76 W, 3432 MiB
2026/07/05 18:47:11.278, 1695 MHz, 0 %, 115.01 W, 3432 MiB
2026/07/05 18:47:12.278, 1695 MHz, 0 %, 115.71 W, 3432 MiB
2026/07/05 18:47:13.279, 1695 MHz, 3 %, 116.04 W, 3432 MiB
2026/07/05 18:47:14.279, 1695 MHz, 0 %, 116.16 W, 3432 MiB
2026/07/05 18:47:15.280, 1695 MHz, 0 %, 116.14 W, 3432 MiB
2026/07/05 18:47:16.280, 1695 MHz, 6 %, 116.44 W, 3432 MiB
2026/07/05 18:47:17.280, 1695 MHz, 6 %, 116.66 W, 3432 MiB
2026/07/05 18:47:18.281, 1695 MHz, 0 %, 116.70 W, 3432 MiB
2026/07/05 18:47:19.281, 1695 MHz, 0 %, 116.64 W, 3432 MiB
2026/07/05 18:47:20.282, 1695 MHz, 0 %, 116.77 W, 3432 MiB
2026/07/05 18:47:21.282, 1695 MHz, 0 %, 117.61 W, 10034 MiB
2026/07/05 18:47:22.283, 1695 MHz, 1 %, 117.23 W, 10096 MiB
2026/07/05 18:47:23.283, 1695 MHz, 0 %, 117.54 W, 10096 MiB
2026/07/05 18:47:24.284, 1695 MHz, 1 %, 117.70 W, 10096 MiB
2026/07/05 18:47:25.284, 1725 MHz, 26 %, 165.06 W, 10312 MiB
2026/07/05 18:47:26.284, 1725 MHz, 27 %, 176.37 W, 10356 MiB
2026/07/05 18:47:27.285, 1695 MHz, 25 %, 167.46 W, 10374 MiB
2026/07/05 18:47:28.285, 1695 MHz, 15 %, 156.16 W, 10416 MiB
2026/07/05 18:47:29.285, 1695 MHz, 10 %, 150.33 W, 10418 MiB
2026/07/05 18:47:30.286, 1695 MHz, 16 %, 146.89 W, 10478 MiB
2026/07/05 18:47:31.286, 1695 MHz, 20 %, 143.20 W, 10522 MiB
2026/07/05 18:47:32.286, 1695 MHz, 12 %, 138.27 W, 10572 MiB
2026/07/05 18:47:33.287, 1695 MHz, 6 %, 132.08 W, 10616 MiB
2026/07/05 18:47:34.287, 1695 MHz, 10 %, 128.45 W, 10766 MiB
2026/07/05 18:47:35.287, 1695 MHz, 0 %, 125.41 W, 11550 MiB
2026/07/05 18:47:36.288, 1695 MHz, 0 %, 120.26 W, 11550 MiB
2026/07/05 18:47:37.288, 1695 MHz, 32 %, 124.72 W, 11596 MiB
2026/07/05 18:47:38.289, 1695 MHz, 0 %, 124.40 W, 11596 MiB
2026/07/05 18:47:39.289, 1695 MHz, 0 %, 120.12 W, 11596 MiB
2026/07/05 18:47:40.289, 1695 MHz, 0 %, 120.14 W, 11596 MiB
2026/07/05 18:47:41.290, 1695 MHz, 0 %, 121.35 W, 11596 MiB
2026/07/05 18:47:42.290, 1695 MHz, 0 %, 121.34 W, 11596 MiB
2026/07/05 18:47:43.291, 1695 MHz, 0 %, 120.25 W, 11596 MiB
2026/07/05 18:47:44.291, 1695 MHz, 0 %, 120.31 W, 11596 MiB
2026/07/05 18:47:45.291, 1695 MHz, 0 %, 120.42 W, 11596 MiB
2026/07/05 18:47:46.292, 1695 MHz, 0 %, 120.49 W, 11596 MiB
2026/07/05 18:47:47.292, 1695 MHz, 0 %, 120.63 W, 11596 MiB
2026/07/05 18:47:48.293, 1695 MHz, 0 %, 120.84 W, 11596 MiB
2026/07/05 18:47:49.293, 1695 MHz, 0 %, 121.03 W, 11596 MiB
2026/07/05 18:47:50.294, 1695 MHz, 0 %, 121.18 W, 11596 MiB
2026/07/05 18:47:51.294, 1695 MHz, 0 %, 121.18 W, 11596 MiB
2026/07/05 18:47:52.294, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:53.295, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:54.295, 1695 MHz, 0 %, 121.19 W, 11596 MiB
2026/07/05 18:47:55.296, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:56.296, 1695 MHz, 0 %, 121.36 W, 11596 MiB
2026/07/05 18:47:57.296, 1695 MHz, 0 %, 121.47 W, 11596 MiB
2026/07/05 18:47:58.297, 300 MHz, 0 %, 107.48 W, 11596 MiB
2026/07/05 18:47:59.297, 210 MHz, 0 %, 60.22 W, 11596 MiB
2026/07/05 18:48:00.297, 210 MHz, 0 %, 25.40 W, 11596 MiB
2026/07/05 18:48:01.298, 210 MHz, 0 %, 24.16 W, 11596 MiB
2026/07/05 18:48:02.298, 210 MHz, 0 %, 24.33 W, 11596 MiB
2026/07/05 18:48:03.298, 210 MHz, 0 %, 24.15 W, 11596 MiB
2026/07/05 18:48:04.298, 210 MHz, 0 %, 23.94 W, 11596 MiB
2026/07/05 18:48:05.299, 210 MHz, 0 %, 23.90 W, 11596 MiB
2026/07/05 18:48:06.299, 210 MHz, 0 %, 24.04 W, 11596 MiB
2026/07/05 18:48:07.300, 210 MHz, 0 %, 23.91 W, 11596 MiB
2026/07/05 18:48:08.300, 210 MHz, 0 %, 24.79 W, 11654 MiB
2026/07/05 18:48:09.300, 1965 MHz, 0 %, 97.12 W, 11654 MiB
2026/07/05 18:48:10.301, 1965 MHz, 0 %, 159.20 W, 11654 MiB
2026/07/05 18:48:11.301, 1905 MHz, 99 %, 209.75 W, 12092 MiB
2026/07/05 18:48:12.301, 1845 MHz, 100 %, 348.08 W, 12094 MiB
2026/07/05 18:48:13.302, 1845 MHz, 97 %, 348.40 W, 12094 MiB
2026/07/05 18:48:14.302, 1845 MHz, 100 %, 348.63 W, 12094 MiB
2026/07/05 18:48:15.302, 1860 MHz, 100 %, 349.16 W, 12094 MiB
2026/07/05 18:48:16.303, 1845 MHz, 96 %, 348.24 W, 12094 MiB
2026/07/05 18:48:17.303, 1845 MHz, 100 %, 349.00 W, 12094 MiB
2026/07/05 18:48:18.303, 1860 MHz, 97 %, 347.11 W, 12094 MiB
2026/07/05 18:48:19.304, 1830 MHz, 100 %, 348.69 W, 12094 MiB
2026/07/05 18:48:20.304, 1830 MHz, 100 %, 348.82 W, 12094 MiB
2026/07/05 18:48:21.304, 1875 MHz, 96 %, 347.93 W, 12094 MiB
2026/07/05 18:48:22.305, 1845 MHz, 77 %, 334.18 W, 12124 MiB
2026/07/05 18:48:23.305, 1800 MHz, 100 %, 347.33 W, 12124 MiB
2026/07/05 18:48:24.306, 1800 MHz, 100 %, 348.34 W, 12124 MiB
2026/07/05 18:48:25.306, 1785 MHz, 100 %, 348.31 W, 12124 MiB
2026/07/05 18:48:26.306, 1800 MHz, 100 %, 348.74 W, 12124 MiB
2026/07/05 18:48:27.307, 1770 MHz, 100 %, 346.35 W, 12124 MiB
2026/07/05 18:48:28.307, 1785 MHz, 100 %, 335.46 W, 12124 MiB
2026/07/05 18:48:29.307, 1770 MHz, 100 %, 333.99 W, 12124 MiB
2026/07/05 18:48:30.308, 1770 MHz, 100 %, 326.67 W, 12124 MiB
2026/07/05 18:48:31.308, 1800 MHz, 100 %, 334.75 W, 12124 MiB
2026/07/05 18:48:32.308, 1770 MHz, 100 %, 334.27 W, 12124 MiB
